#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=12900 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:17.38 aq:4.85 tex:1155252 mv:143518 misc:398 imb:8160 pmb:0 smb:0 d:- ref:;
in:3 out:1 type:P dur:2 cpbdur:2 q:18.45 aq:6.57 tex:477640 mv:13638 misc:2346 imb:501 pmb:4499 smb:3160 d:- ref:0 ;
in:1 out:2 type:B dur:2 cpbdur:2 q:18.45 aq:12.17 tex:28101 mv:5666 misc:4977 imb:34 pmb:2118 smb:6008 d:- ref:0 ;
in:2 out:3 type:b dur:2 cpbdur:2 q:18.45 aq:13.11 tex:27987 mv:3153 misc:5116 imb:4 pmb:1836 smb:6320 d:- ref:0 ;
in:7 out:4 type:P dur:2 cpbdur:2 q:18.35 aq:6.35 tex:190567 mv:2498 misc:4599 imb:76 pmb:3632 smb:4452 d:- ref:0 ;
in:5 out:5 type:B dur:2 cpbdur:2 q:18.40 aq:11.82 tex:2478 mv:547 misc:2871 imb:0 pmb:538 smb:7622 d:- ref:0 ;
in:4 out:6 type:b dur:2 cpbdur:2 q:18.43 aq:12.94 tex:1970 mv:509 misc:1769 imb:0 pmb:250 smb:7910 d:- ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:18.38 aq:9.89 tex:231 mv:121 misc:560 imb:6 pmb:19 smb:8135 d:- ref:0 ;
in:11 out:8 type:P dur:2 cpbdur:2 q:17.96 aq:5.75 tex:47660 mv:559 misc:4397 imb:15 pmb:1111 smb:7034 d:- ref:0 ;
in:9 out:9 type:B dur:2 cpbdur:2 q:18.16 aq:12.06 tex:535 mv:95 misc:666 imb:0 pmb:35 smb:8125 d:- ref:0 ;
in:8 out:10 type:b dur:2 cpbdur:2 q:18.25 aq:12.11 tex:207 mv:57 misc:528 imb:0 pmb:16 smb:8144 d:- ref:0 ;
in:10 out:11 type:b dur:2 cpbdur:2 q:18.06 aq:12.62 tex:207 mv:71 misc:514 imb:0 pmb:14 smb:8146 d:- ref:0 ;
in:15 out:12 type:P dur:2 cpbdur:2 q:17.48 aq:5.63 tex:38634 mv:383 misc:3879 imb:10 pmb:880 smb:7270 d:- ref:0 ;
in:13 out:13 type:B dur:2 cpbdur:2 q:17.72 aq:8.68 tex:526 mv:65 misc:625 imb:0 pmb:28 smb:8132 d:- ref:0 ;
in:12 out:14 type:b dur:2 cpbdur:2 q:17.84 aq:13.97 tex:115 mv:23 misc:462 imb:0 pmb:6 smb:8154 d:- ref:0 ;
in:14 out:15 type:b dur:2 cpbdur:2 q:17.60 aq:13.23 tex:148 mv:27 misc:473 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:19 out:16 type:P dur:2 cpbdur:2 q:16.97 aq:5.70 tex:32899 mv:378 misc:3459 imb:6 pmb:719 smb:7435 d:- ref:0 ;
in:17 out:17 type:B dur:2 cpbdur:2 q:17.22 aq:10.59 tex:1165 mv:107 misc:728 imb:0 pmb:52 smb:8108 d:- ref:0 ;
in:16 out:18 type:b dur:2 cpbdur:2 q:17.35 aq:11.65 tex:151 mv:50 misc:487 imb:0 pmb:12 smb:8148 d:- ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:17.10 aq:11.65 tex:211 mv:37 misc:496 imb:0 pmb:11 smb:8149 d:- ref:0 ;
